epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.88354,1.40357,2.54931,1.37558,0.01481,0.89605,0.1277,0.06295,1.41502,2.91401,1.24685,0.00048,0.00048,0.00048
2,10.2645,1.32653,1.54717,1.27089,0.27966,0.07692,0.06965,0.03156,1.56943,2.69747,1.30861,0.00094766,0.00094766,0.00094766
3,14.3582,1.34149,1.36768,1.23582,0.52999,0.24948,0.29373,0.13344,1.57558,2.50038,1.44439,0.00138232,0.00138232,0.00138232
4,18.449,1.30076,1.32849,1.24657,0.6539,0.49885,0.53435,0.25877,1.74859,2.06654,1.57454,0.00178398,0.00178398,0.00178398
5,22.59,1.24805,1.24535,1.22963,0.6638,0.62162,0.64434,0.29466,1.66416,1.75032,1.68511,0.001736,0.001736,0.001736
6,26.6451,1.24672,1.25661,1.24571,0.71969,0.65489,0.67172,0.35014,1.66138,1.84899,1.74455,0.00167,0.00167,0.00167
7,30.7367,1.18246,1.14295,1.19471,0.75142,0.64033,0.70238,0.36275,1.69506,1.85445,1.63482,0.001604,0.001604,0.001604
8,34.7558,1.18147,1.12164,1.21299,0.646,0.65696,0.61413,0.32855,1.59938,1.63283,1.49061,0.001538,0.001538,0.001538
9,38.7456,1.18736,1.04548,1.19203,0.76283,0.65489,0.71854,0.38279,1.55816,1.48798,1.40735,0.001472,0.001472,0.001472
10,42.7255,1.1586,1.02474,1.17543,0.73589,0.74147,0.71973,0.39754,1.35981,1.43716,1.31153,0.001406,0.001406,0.001406
11,46.7217,1.13422,0.95746,1.16639,0.7725,0.79002,0.78706,0.49524,1.32894,1.36564,1.22554,0.00134,0.00134,0.00134
12,50.69,1.07108,0.95034,1.13933,0.80319,0.74666,0.79425,0.51668,1.26358,1.44077,1.20097,0.001274,0.001274,0.001274
13,54.7454,1.12788,0.97595,1.14954,0.82025,0.78378,0.80721,0.52021,1.15377,1.28544,1.15103,0.001208,0.001208,0.001208
14,58.7001,1.09264,0.91269,1.15315,0.77822,0.7806,0.80322,0.52534,1.36684,1.24608,1.32447,0.001142,0.001142,0.001142
15,62.7669,1.08325,0.8819,1.13828,0.84553,0.80799,0.83528,0.54942,1.15645,1.10288,1.11829,0.001076,0.001076,0.001076
16,66.8172,1.03512,0.83949,1.10708,0.85611,0.77929,0.83858,0.56586,1.20841,1.06976,1.16745,0.00101,0.00101,0.00101
17,70.8278,1.04763,0.83579,1.10293,0.82778,0.78943,0.84948,0.56623,1.19797,1.07914,1.15548,0.000944,0.000944,0.000944
18,74.8191,1.04553,0.81881,1.11399,0.81931,0.79002,0.83258,0.56172,1.10816,1.0076,1.0611,0.000878,0.000878,0.000878
19,78.8563,1.0883,0.8243,1.11311,0.86986,0.80599,0.85411,0.58703,1.08439,0.99944,1.08441,0.000812,0.000812,0.000812
20,82.8792,1.00399,0.79078,1.08337,0.85792,0.80457,0.86441,0.59147,1.14509,0.98022,1.11131,0.000746,0.000746,0.000746
21,113.373,1.14576,0.85596,1.1293,0.89875,0.77339,0.85372,0.5847,1.06965,1.03583,1.06708,0.00068,0.00068,0.00068
22,117.555,1.15898,0.83735,1.15399,0.90596,0.80118,0.87354,0.60883,1.04326,0.92,1.04274,0.000614,0.000614,0.000614
23,121.607,1.09288,0.79792,1.10547,0.87024,0.80871,0.86004,0.59562,1.02591,0.93032,1.03978,0.000548,0.000548,0.000548
24,125.754,1.09246,0.77686,1.10862,0.84714,0.78346,0.81145,0.55513,1.05261,1.09622,1.04084,0.000482,0.000482,0.000482
25,129.75,1.10253,0.7567,1.10708,0.91461,0.77936,0.87187,0.60571,0.98393,0.95443,0.99705,0.000416,0.000416,0.000416
26,133.801,1.06438,0.73138,1.09629,0.88644,0.77897,0.86309,0.58692,1.04627,1.05425,1.03045,0.00035,0.00035,0.00035
27,137.724,1.07349,0.72915,1.10136,0.84889,0.79626,0.85289,0.59533,1.02422,1.0788,1.02089,0.000284,0.000284,0.000284
28,141.612,1.04427,0.71236,1.08668,0.90433,0.76645,0.86504,0.61504,0.99901,1.00017,0.99961,0.000218,0.000218,0.000218
29,145.578,1.02794,0.69709,1.07977,0.90063,0.79626,0.87231,0.61802,0.99489,0.96256,0.99709,0.000152,0.000152,0.000152
30,149.691,1.04461,0.70637,1.09181,0.89225,0.80912,0.87568,0.61335,0.98555,0.92009,0.99229,8.6e-05,8.6e-05,8.6e-05
