epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,84.7382,1.27905,1.85478,1.32596,0.90096,0.40733,0.45403,0.25689,1.34539,1.29766,1.39103,0.000553586,0.000553586,0.000553586
2,126.042,1.21179,1.15422,1.26243,0.34511,0.49702,0.46372,0.29071,1.24972,1.05521,1.28645,0.00107265,0.00107265,0.00107265
3,174.265,1.22065,0.99522,1.25902,0.91781,0.39729,0.49852,0.31723,1.182,0.97482,1.25115,0.00155503,0.00155503,0.00155503
4,222.939,1.18109,0.93077,1.24327,0.91917,0.41106,0.48629,0.32022,1.17143,0.93754,1.23271,0.00150197,0.00150197,0.00150197
5,271.992,1.11138,0.84255,1.20254,0.94651,0.44164,0.50301,0.35173,1.07091,0.71612,1.16106,0.00144696,0.00144696,0.00144696
6,337.778,1.07841,0.7869,1.18515,0.52782,0.58433,0.56609,0.3865,1.10144,0.91843,1.20148,0.00139195,0.00139195,0.00139195
7,392.121,1.05579,0.75666,1.169,0.57797,0.57629,0.59299,0.41052,1.0487,0.6807,1.15574,0.00133693,0.00133693,0.00133693
8,491.033,1.02147,0.72205,1.1477,0.62147,0.61382,0.64612,0.47205,1.00248,0.64982,1.11639,0.00128192,0.00128192,0.00128192
9,553.821,1.00796,0.6958,1.13734,0.72895,0.57362,0.65766,0.46742,0.99287,0.62926,1.11515,0.00122691,0.00122691,0.00122691
10,641.536,0.9811,0.67751,1.13355,0.67743,0.63515,0.67259,0.49508,0.99398,0.60837,1.1037,0.0011719,0.0011719,0.0011719
11,723.543,0.97028,0.65992,1.12089,0.67369,0.73846,0.70294,0.50462,1.01154,0.59506,1.12135,0.00111689,0.00111689,0.00111689
12,773.208,0.95399,0.63518,1.1122,0.76648,0.70603,0.7655,0.55382,0.9497,0.56038,1.08657,0.00106188,0.00106188,0.00106188
13,822.42,0.92682,0.61302,1.10313,0.77362,0.72899,0.77257,0.56797,0.9184,0.55643,1.0788,0.00100687,0.00100687,0.00100687
14,871.141,0.9188,0.61039,1.09683,0.81119,0.73666,0.77977,0.56056,0.92866,0.56458,1.09473,0.000951857,0.000951857,0.000951857
15,920.128,0.92005,0.59972,1.09554,0.75925,0.7265,0.77294,0.57541,0.92646,0.53108,1.06354,0.000896846,0.000896846,0.000896846
16,969.999,0.88845,0.58252,1.08127,0.82043,0.7865,0.83204,0.61444,0.88648,0.49971,1.05001,0.000841835,0.000841835,0.000841835
17,1019.69,0.88487,0.56408,1.07772,0.81471,0.78945,0.83491,0.61624,0.88325,0.48599,1.0463,0.000786824,0.000786824,0.000786824
18,1068.44,0.87406,0.55551,1.07077,0.81779,0.77906,0.81404,0.60798,0.86754,0.48064,1.0281,0.000731813,0.000731813,0.000731813
19,1118.54,0.85433,0.54593,1.06437,0.80125,0.75196,0.81122,0.58887,0.91763,0.48904,1.04637,0.000676802,0.000676802,0.000676802
20,1167.73,0.83901,0.53538,1.05391,0.85194,0.74892,0.83012,0.62242,0.87249,0.4739,1.02983,0.000621791,0.000621791,0.000621791
21,1249.09,0.82772,0.48345,1.05681,0.75794,0.78149,0.80289,0.60648,0.83866,0.47001,1.01577,0.00056678,0.00056678,0.00056678
22,1297.2,0.80572,0.46724,1.04304,0.88234,0.73653,0.81803,0.62035,0.82294,0.45741,1.00795,0.000511769,0.000511769,0.000511769
23,1345.14,0.79198,0.45663,1.03699,0.90321,0.77537,0.86572,0.66484,0.79778,0.43268,0.98609,0.000456758,0.000456758,0.000456758
24,1392.56,0.77411,0.44212,1.02576,0.86332,0.85297,0.8722,0.67088,0.79506,0.43119,0.98223,0.000401747,0.000401747,0.000401747
25,1440.36,0.75305,0.42684,1.01227,0.86687,0.85592,0.89871,0.69765,0.78279,0.41653,0.98162,0.000346736,0.000346736,0.000346736
26,1488.05,0.73537,0.4152,1.00953,0.92931,0.81451,0.89223,0.70007,0.76026,0.40138,0.97226,0.000291725,0.000291725,0.000291725
27,1535.96,0.72098,0.40519,0.9982,0.93354,0.8328,0.90437,0.71652,0.75403,0.39704,0.9664,0.000236714,0.000236714,0.000236714
28,1583.2,0.70774,0.39606,0.99034,0.95274,0.84705,0.9051,0.70424,0.75375,0.38872,0.96885,0.000181703,0.000181703,0.000181703
29,1630.74,0.69796,0.38813,0.98419,0.92873,0.81653,0.90022,0.71525,0.72728,0.37638,0.95252,0.000126692,0.000126692,0.000126692
30,1678.75,0.68112,0.37588,0.97435,0.93178,0.83549,0.89931,0.70902,0.72345,0.37165,0.95022,7.1681e-05,7.1681e-05,7.1681e-05
