epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,143.906,0.82286,2.41522,1.1732,0.96507,0.42274,0.84656,0.71803,0.55815,2.62003,1.00982,0.000541419,0.000541419,0.000541419
2,278.223,0.75209,1.40827,1.08514,0.86304,0.74774,0.83061,0.61619,0.8285,2.21916,1.39808,0.00106088,0.00106088,0.00106088
3,370.653,0.75224,1.33269,1.10744,0.82308,0.74652,0.84015,0.65897,0.71558,1.92962,1.32344,0.00154367,0.00154367,0.00154367
4,473.912,0.7592,1.20049,1.10947,0.52578,0.5454,0.51548,0.24902,1.40801,2.65505,1.7275,0.00150197,0.00150197,0.00150197
5,572.414,0.74214,1.09625,1.08837,0.74326,0.68041,0.7354,0.54844,0.6782,1.78674,1.14351,0.00144696,0.00144696,0.00144696
6,670.093,0.69515,1.02141,1.0679,0.80398,0.80327,0.89272,0.75616,0.56314,1.2575,1.0388,0.00139195,0.00139195,0.00139195
7,759.076,0.66078,0.93427,1.0512,0.86803,0.7711,0.85919,0.71892,0.63564,1.15639,1.09334,0.00133693,0.00133693,0.00133693
8,1048.97,0.65546,0.87987,1.05106,0.84465,0.87761,0.86799,0.76816,0.45266,0.89704,0.99858,0.00128192,0.00128192,0.00128192
9,1155.72,0.62862,0.81401,1.03527,0.89616,0.86978,0.9198,0.79354,0.51251,0.82093,0.94244,0.00122691,0.00122691,0.00122691
10,1257.29,0.62774,0.77338,1.02601,0.83088,0.86198,0.90461,0.79628,0.46113,0.81018,0.94513,0.0011719,0.0011719,0.0011719
11,1354.72,0.55946,0.68994,0.99543,0.92139,0.87918,0.93435,0.84685,0.43014,0.64583,0.92756,0.00111689,0.00111689,0.00111689
12,1452.2,0.60813,0.73551,1.02918,0.90188,0.87634,0.93411,0.82046,0.48118,0.69029,0.97619,0.00106188,0.00106188,0.00106188
13,1552.6,0.55254,0.68223,1.00068,0.80668,0.91198,0.89906,0.78913,0.4667,0.68939,0.93747,0.00100687,0.00100687,0.00100687
14,1649.75,0.59043,0.68164,1.00945,0.78907,0.89512,0.90167,0.82448,0.46343,0.65657,0.9232,0.000951857,0.000951857,0.000951857
15,1747.72,0.55058,0.62525,0.98877,0.94156,0.92999,0.96556,0.8582,0.47321,0.48102,0.91087,0.000896846,0.000896846,0.000896846
16,1844.33,0.52196,0.57914,0.98378,0.91429,0.92833,0.95474,0.86097,0.3975,0.48839,0.87735,0.000841835,0.000841835,0.000841835
17,1940.8,0.5162,0.57403,0.97887,0.94174,0.94015,0.96359,0.895,0.37443,0.41579,0.88474,0.000786824,0.000786824,0.000786824
18,2037.73,0.5033,0.5354,0.96755,0.92624,0.95527,0.97494,0.86891,0.47011,0.44303,0.89547,0.000731813,0.000731813,0.000731813
19,2140.1,0.52241,0.55527,0.98294,0.95526,0.93842,0.96171,0.90155,0.36934,0.40747,0.8651,0.000676802,0.000676802,0.000676802
20,2240.15,0.48348,0.51458,0.95986,0.98622,0.92274,0.96034,0.89341,0.3831,0.41726,0.87695,0.000621791,0.000621791,0.000621791
21,2383.29,0.49159,0.52112,0.96106,0.96738,0.91063,0.94712,0.87647,0.35315,0.4642,0.84118,0.00056678,0.00056678,0.00056678
22,2693.17,0.48382,0.49539,0.95679,0.93329,0.93921,0.96748,0.87224,0.40412,0.41211,0.86334,0.000511769,0.000511769,0.000511769
23,2931.91,0.49069,0.45897,0.95385,0.94504,0.9533,0.97063,0.89988,0.37403,0.36953,0.86441,0.000456758,0.000456758,0.000456758
24,3029.81,0.47285,0.43795,0.95366,0.94669,0.96237,0.97133,0.89046,0.39327,0.3481,0.88688,0.000401747,0.000401747,0.000401747
25,3129.45,0.45082,0.4123,0.93322,0.93753,0.96774,0.97306,0.91741,0.33934,0.3371,0.85873,0.000346736,0.000346736,0.000346736
26,3226.62,0.43884,0.40474,0.91873,0.96065,0.92473,0.96033,0.88034,0.39993,0.39163,0.84733,0.000291725,0.000291725,0.000291725
27,3324.49,0.43506,0.39537,0.9064,0.98072,0.95161,0.97902,0.9075,0.36771,0.31239,0.8427,0.000236714,0.000236714,0.000236714
28,3562.63,0.42461,0.37458,0.91328,0.97425,0.9296,0.96973,0.90916,0.34447,0.33895,0.83086,0.000181703,0.000181703,0.000181703
29,3658.37,0.39302,0.35943,0.89136,0.94689,0.98328,0.98008,0.91839,0.33926,0.28129,0.8233,0.000126692,0.000126692,0.000126692
30,3755.25,0.37203,0.33802,0.90399,0.97209,0.94086,0.9794,0.91961,0.33362,0.2744,0.8202,7.1681e-05,7.1681e-05,7.1681e-05
